reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
915,Hugo Firth,Paolo Missier,1132, Jack Aiston,244,,,,,,,,,,,,,,,,,,Loom: Query-aware Partitioning of Online Graphs
1177,Raphael Bonaque,Bogdan Cautis,754, Franois Goasdoue,179, Ioana Manolescu,239,,,,,,,,,,,,,,,,"Social, Structured and Semantic Search"
950,Jiang Du,Boris Glavic,756, Wei Tan,600, Renee J. Miller,475,,,,,,,,,,,,,,,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics
897,Haohan Zhu,Xianrui Meng,1307, George Kollios,197,,,,,,,,,,,,,,,,,,Privacy Preserving Similarity Evaluation of Time Series Data
1135,Paras Mehta ,Dimitris Sacharidis,817, Dimitrios Skoutas,145, Agnos Voisard,18,,,,,,,,,,,,,,,,Finding Socio-Textual Associations Among Locations
791,Daichi Amagata,Takahiro Hara,1244,,,,,,,,,,,,,,,,,,,,Monitoring MaxRS in Spatial Data Streams
1099,Muhammad Farhan,Qing Wang,1162, Yu Lin,662,,,,,,,,,,,,,,,,,,A Highly Scalable Labelling Approach for Exact Distance Queries in Complex Networks
814,Dimitrios Karapiperis,Dinusha Vatsalan,821, Vassilios S. Verykios,580, Peter Christen,443,,,,,,,,,,,,,,,,Efficient Record Linkage Using a Compact Hamming Space
1279,Vijay Ingalalli,Dino Ienco,820, Pascal Poncelet,439, Serena Villata,506,,,,,,,,,,,,,,,,Querying RDF Data Using A Multigraph-based Approach
1136,Parth Nagarkar,K. Seluk Candan,977,,,,,,,,,,,,,,,,,,,,HCS: Hierarchical Cut Selection for Efficiently Processing Queries on Data Columns using Hierarchical Bitmap
728,Anupam Sanghi,Raghav Sood,1171, Jayant Haritsa,254, Srikanta Tirthapura,527,,,,,,,,,,,,,,,,Scalable and Dynamic Regeneration of Big Data Volumes
789,Cristian Consonni,Paolo Sottovia,1134, Alberto Montresor,22, Yannis Velegrakis,651,,,,,,,,,,,,,,,,Discovering Order Dependencies through Order Compatibility
779,Christina Pavlopoulou,E. Preston Carman. Jr,828, Till Westmann,562, Michael J. Carey,386, Vassilis J. Tsotras,582,,,,,,,,,,,,,,A Parallel and Scalable Processor for JSON Data
1273,Vasilis Samoladas,Minos Garofalakis,1084,,,,,,,,,,,,,,,,,,,,Functional Geometric Monitoring for Distributed Streams
718,Angela Bonifati,Radu Ciucanu,1166, Aurelien Lemay,61,,,,,,,,,,,,,,,,,,Learning Path Queries on Graph Databases
792,Damian Bursztyn,Francois Goasdoue,869, Ioana Manolescu,239,,,,,,,,,,,,,,,,,,Optimizing Reformulation-based Query Answering in RDF
